# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	7179
#@/user_id	ff85f8fa-9b37-4781-86d8-a82aef9341bf
a 	啊	c=21 d=1.40163 t=7179
bu suo jin 	不縮進	c=2 d=0.00133931 t=7179
bu ti gong 	不提供	c=1 d=2.81023e-09 t=7179
bu tong 	不同	c=3 d=0.183262 t=7179
bu tong dian 	不同點	c=2 d=0.000116429 t=7179
bu tong yong 	不通用	c=1 d=1 t=3832
bu wan 	不玩	c=2 d=0.000160054 t=7179
bu wan quan 	不完全	c=1 d=1 t=813
bu wan shan 	不完善	c=1 d=6.27367e-16 t=7179
bu wan you xi 	不玩遊戲	c=1 d=1.93677e-12 t=7179
bu wen ding 	不穩定	c=1 d=1 t=3559
bu xi guan 	不習慣	c=1 d=1.44547e-11 t=7179
bu xiang 	不想	c=4 d=0.491959 t=7179
bu xing 	不行	c=8 d=0.246597 t=7179
bu xu yao 	不需要	c=5 d=0.788684 t=7179
bu yao 	不要	c=5 d=0.258614 t=7179
bu yao ren 	不要人	c=1 d=0.0430669 t=7179
bu yao wo 	不要我	c=1 d=0.0441572 t=7179
bu yao zhao ji 	不要着急	c=1 d=1 t=833
bu yi ding 	不一定	c=1 d=1 t=3326
bu yi yang 	不一樣	c=4 d=0.680451 t=7179
bu ying gai shi 	不應該是	c=1 d=7.30162e-07 t=7179
bu yong 	不用	c=3 d=0.453845 t=7179
bu zai 	不再	c=2 d=5.84456e-06 t=7179
bu zai 	不在	c=1 d=1.44847e-06 t=7179
bu zai xian 	不在線	c=1 d=0.744532 t=7179
bu zhao ji 	不着急	c=2 d=0.0761538 t=7179
bu zheng que 	不正確	c=1 d=9.14709e-11 t=7179
bu zhi chi 	不支持	c=2 d=1.00001 t=3751
bu zhi dao 	不知道	c=16 d=1.88959 t=7179
bu zhu 	不住	c=1 d=0.631284 t=7179
bu zhu yi 	不注意	c=0 d=0.0143704 t=7179
bu zhuan ye 	不專業	c=1 d=0.256661 t=7179
bu zhun que 	不準確	c=1 d=4.20394e-12 t=7179
bu zu 	不足	c=1 d=1.09265e-13 t=7179
cai 	才	c=7 d=0.0731678 t=7179
cai 	猜	c=1 d=5.34334e-10 t=7179
cai bu dao 	猜不到	c=1 d=0.14808 t=7179
cai ce 	猜測	c=2 d=0.307279 t=7179
cai dan 	菜單	c=2 d=1.08127 t=1077
cai dao 	猜到	c=0 d=1.41026e-16 t=7179
cai dao de 	猜到的	c=1 d=1.41733e-15 t=7179
cai ji 	採集	c=3 d=1.52312e-13 t=7179
cai ji dao 	採集到	c=1 d=2.46253e-14 t=7179
cai jian 	裁剪	c=1 d=3.77321e-05 t=7179
cai kai shi 	纔開始	c=1 d=1 t=4682
cai liao 	材料	c=0 d=0.1 t=3668
cai liao she ji 	材料設計	c=1 d=1 t=3669
cai neng 	才能	c=2 d=0.19205 t=7179
cai qu 	採取	c=1 d=1 t=4149
cai shi 	纔是	c=1 d=0.135335 t=7179
cai yong 	採用	c=0 d=4.02935e-14 t=7179
cai you 	纔有	c=1 d=0.38868 t=7179
can kao wen xian 	參考文獻	c=5 d=0.010346 t=7179
can shu 	參數	c=9 d=0.772249 t=7179
can shu she zhi 	參數設置	c=1 d=1 t=2052
can yu 	參與	c=1 d=1 t=1463
cang ku 	倉庫	c=1 d=3.65535e-14 t=7179
cao mei 	草莓	c=1 d=1 t=2669
cao xin 	操心	c=0 d=0.0132655 t=7179
cao zuo 	操作	c=3 d=1.00334 t=1842
cao zuo fang fa 	操作方法	c=1 d=1 t=2968
ce 	側	c=1 d=1 t=2776
ce hui 	測繪	c=1 d=1.80614e-14 t=7179
ce kong 	測控	c=0 d=5.23932e-15 t=7179
ce kong ji shu 	測控技術	c=1 d=5.26558e-14 t=7179
ce liang 	測量	c=1 d=2.80297e-08 t=7179
ce shi 	測試	c=8 d=3.47012e-05 t=7179
ce shi ye 	測試頁	c=1 d=6.06944e-09 t=7179
ceng ci 	層次	c=2 d=1.99501 t=1704
ceng mian 	層面	c=1 d=1 t=3495
cha bie 	差別	c=5 d=0.318224 t=7179
cha bu dao 	查不到	c=1 d=0.0695994 t=7179
cha bu duo 	差不多	c=1 d=0.00104368 t=7179
cha hua 	插畫	c=1 d=2.45451e-05 t=7179
cha jian 	插件	c=4 d=1.30264e-07 t=7179
cha jiang 	差降	c=1 d=1 t=1217
cha kan 	查看	c=7 d=1.44104 t=7179
cha ru 	插入	c=1 d=5.14536e-07 t=7179
cha shou 	查收	c=1 d=7.75312e-07 t=7179
cha tu 	插圖	c=8 d=7.23135e-05 t=7179
cha xun 	查詢	c=3 d=0.513308 t=7179
cha yi 	差異	c=2 d=0.0128424 t=7179
chai 	拆	c=3 d=0.630357 t=7179
chai 	釵	c=0 d=5.37012e-11 t=7179
chai kai 	拆開	c=1 d=0.215456 t=7179
chan he 	摻合	c=1 d=1.85988e-06 t=7179
chan pin 	產品	c=1 d=1.21382e-15 t=7179
chan rao 	纏繞	c=1 d=0.722527 t=7179
chan sheng 	產生	c=2 d=0.0916297 t=7179
chang 	場	c=0 d=0.00322254 t=7179
chang 	長	c=1 d=1.12516e-06 t=7179
chang du 	長度	c=2 d=3.49385e-15 t=7179
chang he 	場合	c=1 d=3.71059e-14 t=7179
chang jing 	場景	c=2 d=2.77283e-13 t=7179
chang kuan bi 	長寬比	c=1 d=9.30462e-06 t=7179
chang liang 	常亮	c=1 d=1 t=2622
chang ping 	昌平	c=1 d=1.04674e-09 t=7179
chang ping qu 	昌平區	c=1 d=1 t=2543
chang ping xiao qu 	昌平校區	c=1 d=1 t=1033
chang shi 	嘗試	c=4 d=0.00947186 t=7179
chang yong 	常用	c=1 d=1.65811e-08 t=7179
chang yong ruan jian 	常用軟件	c=2 d=4.7354e-12 t=7179
chang zhou 	常州	c=1 d=2.67918e-06 t=7179
chao 	朝	c=0 d=5.78936e-13 t=7179
chao guo 	超過	c=1 d=2.26772e-15 t=7179
chao ji 	超級	c=0 d=0.1 t=4661
chao ji shou ji 	超級手機	c=1 d=1 t=4662
chao xi 	抄襲	c=1 d=9.58798e-06 t=7179
che biao 	車標	c=1 d=1 t=2372
che dao 	扯到	c=1 d=0.00128757 t=7179
che di 	徹底	c=2 d=0.000100535 t=7179
che xiao 	撤銷	c=1 d=1 t=236
che zi 	車子	c=1 d=0.0010333 t=7179
chen 	塵	c=1 d=1 t=2601
chen 	晨	c=1 d=1 t=2602
chen 	沉	c=1 d=1 t=2588
chen 	陳	c=0 d=0.0571209 t=7179
chen jin 	沉浸	c=0 d=0.0114178 t=7179
chen jin shi 	沉浸式	c=4 d=0.11475 t=7179
chen mao ke 	陳茂科	c=1 d=1 t=2927
chen zhe 	趁着	c=1 d=0.188247 t=7179
chen zhi ma lan gu zi 	陳芝麻爛穀子	c=1 d=0.574072 t=7179
chen zhong 	沉重	c=1 d=7.07234e-14 t=7179
cheng 	城	c=0 d=8.29947e-15 t=7179
cheng 	成	c=2 d=0.436049 t=7179
cheng du 	程度	c=1 d=0.511709 t=7179
cheng fa 	乘法	c=0 d=1.17208e-16 t=7179
cheng gong 	成功	c=1 d=1 t=4395
cheng hu 	稱呼	c=1 d=5.6328e-13 t=7179
